,bigrams,counts
0,"('customer', 'service')",53
1,"('jimmy', ""john's"")",40
2,"('jimmy', 'johns')",39
3,"('behind', 'counter')",34
4,"('fast', 'food')",30
5,"('jersey', ""mike's"")",24
6,"('every', 'time')",24
7,"('cheese', 'steak')",20
8,"('staff', 'friendly')",20
9,"('foot', 'long')",18
10,"('go', 'back')",18
11,"('much', 'better')",17
12,"('make', 'sandwich')",17
13,"('sandwich', 'shop')",16
14,"('always', 'fresh')",16
15,"('always', 'friendly')",16
16,"(""i've"", 'ever')",16
17,"('always', 'good')",15
18,"(""i've"", 'never')",15
19,"('food', 'good')",15
20,"('subway', 'one')",14
21,"('good', 'service')",14
22,"('subway', 'location')",13
23,"('freaky', 'fast')",13
24,"('lettuce', 'tomato')",13
25,"('always', 'clean')",13
26,"('food', 'fresh')",12
27,"('even', 'though')",12
28,"('food', 'always')",12
29,"('one', 'best')",12
30,"('staff', 'always')",12
31,"('get', 'food')",12
32,"('bad', 'experience')",12
33,"('next', 'time')",11
34,"(""i'm"", 'sure')",11
35,"('first', 'time')",11
36,"('sandwich', 'place')",11
37,"('get', 'sandwich')",11
38,"('meatball', 'sub')",11
39,"('come', 'back')",11
40,"('people', 'working')",11
41,"('friendly', 'staff')",11
42,"('great', 'service')",10
43,"('good', 'sandwich')",10
44,"('30', 'minutes')",10
45,"('time', 'go')",10
46,"('subway', 'ever')",10
47,"('subway', 'always')",10
48,"('restaurant', 'clean')",10
49,"('make', 'sure')",10
50,"('firehouse', 'subs')",10
51,"('jersey', 'mikes')",10
52,"('subway', ""i've"")",10
53,"('sandwich', 'artist')",9
54,"('fresh', 'bread')",9
55,"('i', 'ordered')",9
56,"('place', 'clean')",9
57,"('great', 'place')",9
58,"('fast', 'friendly')",9
59,"('always', 'get')",9
60,"('drive', 'thru')",9
61,"('5', 'stars')",9
62,"('clean', 'staff')",9
63,"('service', 'good')",9
64,"('lunch', 'break')",9
65,"(""mike's"", 'way')",9
66,"('quick', 'lunch')",9
67,"('feel', 'like')",9
68,"('service', 'fast')",9
69,"('roast', 'beef')",9
70,"('pretty', 'good')",8
71,"('wheat', 'bread')",8
72,"('better', 'subway')",8
73,"('one', 'employee')",8
74,"('bread', 'always')",8
75,"('15', 'minutes')",8
76,"('took', 'order')",8
77,"('3', 'times')",8
78,"('really', 'good')",8
79,"('lunch', 'hour')",8
80,"('going', 'back')",8
81,"('sandwich', 'made')",8
82,"('eat', 'subway')",8
83,"('chips', 'drink')",8
84,"('like', 'subway')",8
85,"('lettuce', 'tomatoes')",8
86,"('several', 'times')",8
87,"('really', 'nice')",8
88,"('order', 'wrong')",7
89,"('high', 'school')",7
90,"('hot', 'peppers')",7
91,"('particular', 'location')",7
92,"('order', 'sandwich')",7
93,"('fast', 'service')",7
94,"('nothing', 'special')",7
95,"('parking', 'lot')",7
96,"('guy', 'behind')",7
97,"('times', ""i've"")",7
98,"('lunch', 'rush')",7
99,"('employees', 'friendly')",7
100,"('last', 'time')",7
101,"('food', 'great')",7
102,"('would', 'say')",7
103,"('get', 'order')",7
104,"('wash', 'hands')",7
105,"('beach', 'club')",7
106,"('employees', 'working')",7
107,"('another', 'sandwich')",7
108,"('one', 'time')",7
109,"('asked', 'little')",7
110,"('tomato', 'onion')",7
111,"('service', 'food')",7
112,"('get', 'free')",7
113,"('always', 'great')",7
114,"('best', 'subway')",7
115,"('old', 'bread')",7
116,"('making', 'sandwich')",7
117,"('fresh', 'ingredients')",7
118,"('long', 'time')",7
119,"('staff', 'great')",7
120,"('&', 'cheese')",7
121,"('wanted', 'sandwich')",7
122,"('many', 'times')",6
123,"('service', 'always')",6
124,"('sub', 'shop')",6
125,"('way', 'better')",6
126,"('typical', 'subway')",6
127,"('service', 'great')",6
128,"('placed', 'order')",6
129,"('lunch', 'time')",6
130,"('service', 'location')",6
131,"('order', 'online')",6
132,"('pretty', 'much')",6
133,"('one', 'thing')",6
134,"('many', 'subways')",6
135,"('times', 'week')",6
136,"('super', 'friendly')",6
137,"('never', 'come')",6
138,"('order', 'get')",6
139,"('dining', 'area')",6
140,"('music', 'loud')",6
141,"('subway', 'sandwich')",6
142,"('turkey', 'bacon')",6
143,"('made', 'sandwich')",6
144,"('girl', 'behind')",6
145,"('good', 'food')",6
146,"('across', 'street')",6
147,"('great', 'food')",6
148,"('chicken', 'cheese')",6
149,"('meat', 'cheese')",6
150,"('go', 'one')",6
151,"('one', 'sandwich')",6
152,"('time', 'order')",6
153,"('sandwich', 'get')",6
154,"('sandwich', 'good')",6
155,"('looks', 'like')",6
156,"(""i'll"", 'go')",6
157,"('got', 'home')",6
158,"('great', 'sandwich')",6
159,"('would', 'recommend')",6
160,"('6', 'inch')",6
161,"('could', 'get')",6
162,"('usually', 'get')",6
163,"('sandwich', 'shops')",6
164,"('day', 'old')",6
165,"('italian', 'sub')",6
166,"('great', 'customer')",6
167,"('steak', 'cheese')",6
168,"('coming', 'back')",6
169,"('highly', 'recommend')",6
170,"('every', 'day')",5
171,"('delivery', 'driver')",5
172,"('slow', 'service')",5
173,"('veggies', 'fresh')",5
174,"('gas', 'station')",5
175,"('good', 'experience')",5
176,"('bag', 'chips')",5
177,"('get', 'sub')",5
178,"('time', ""i've"")",5
179,"('extremely', 'rude')",5
180,"('better', 'sandwich')",5
181,"('friendly', 'food')",5
