,0
sandwich,3139
Subway,2207
time,1738
one,1485
subway,1468
get,1452
location,1341
service,1258
order,1248
like,1222
food,1206
go,1155
customer,1133
employee,1071
always,967
place,937
sub,861
dont,859
good,859
back,836
would,829
make,786
said,779
staff,733
bread,732
even,726
friendly,683
asked,681
got,681
store,677
didnt,638
clean,637
never,631
Ive,629
people,624
made,596
know,575
Im,573
great,548
lunch,542
work,534
want,532
say,514
rude,510
ever,505
really,504
going,498
come,486
went,475
could,468
told,462
two,461
fresh,458
give,455
line,450
working,449
ordered,444
way,440
nice,437
eat,424
put,422
cheese,416
experience,410
day,402
minute,402
guy,387
manager,376
making,375
star,373
lady,369
take,368
wanted,363
long,362
need,360
restaurant,360
much,358
fast,358
owner,358
right,355
also,355
thing,354
meat,354
better,353
bad,353
veggie,346
counter,335
extra,333
well,330
came,328
worker,317
door,311
still,308
another,307
quick,305
girl,302
coupon,301
sure,292
every,286
ask,285
something,285
business,282
around,282
best,278
little,274
open,273
walked,273
area,269
pretty,266
new,265
behind,265
today,263
look,262
think,259
person,259
wasnt,258
see,255
love,254
hour,254
review,254
close,254
chicken,254
year,253
many,250
lot,241
job,241
topping,239
next,236
Subways,236
first,233
last,230
drink,229
woman,227
drive,224
usually,224
tell,223
took,219
thats,218
away,216
left,214
front,213
worst,211
cant,211
attitude,210
since,207
ingredient,205
looked,203
care,202
wait,202
meal,201
visit,200
though,200
different,199
lettuce,198
price,197
week,196
pay,192
kid,191
salad,191
mask,191
anything,190
youre,188
foot,188
eating,186
man,185
money,185
home,184
doesnt,183
enough,182
gave,182
least,180
use,180
actually,178
pepper,177
busy,177
used,176
phone,176
without,175
inside,174
wrong,174
online,174
option,173
keep,172
everything,172
Ill,171
chip,170
getting,169
someone,167
tried,167
wont,167
super,167
quality,166
feel,166
else,165
shop,165
deal,164
reason,163
find,162
ordering,160
coming,159
trying,158
hard,157
meatball,157
try,157
stop,157
closed,157
walk,155
call,155
hand,154
kind,154
problem,154
called,153
night,151
let,151
sign,151
taste,151
seemed,149
definitely,147
point,146
young,145
couldnt,144
sauce,144
name,144
tomato,144
tuna,144
cooky,143
half,142
recommend,142
understand,142
slow,142
le,141
free,141
toasted,140
kept,139
footlong,139
card,139
glove,138
pick,138
run,136
old,135
seems,134
bit,134
probably,134
nothing,134
decided,133
table,133
special,131
far,131
almost,131
onion,130
paid,130
help,130
waiting,129
issue,128
three,128
isnt,126
happy,126
wouldnt,126
amount,126
change,125
cold,124
parking,123
started,122
often,122
poor,122
small,122
leave,122
One,121
charge,121
breakfast,120
seem,120
top,120
Also,119
theyre,119
inch,119
cut,118
whole,118
Id,117
rush,116
done,116
literally,116
already,116
saying,116
instead,116
saw,116
stopped,115
several,115
either,114
looking,114
horrible,114
franchise,114
waited,114
everyone,113
favorite,113
expect,113
menu,112
second,111
side,111
maybe,110
offer,110
extremely,110
particular,110
turkey,110
family,109
dirty,108
thought,106
add,105
mean,105
bag,105
talking,104
guess,104
choice,103
healthy,103
app,103
seen,102
completely,102
couple,102
management,102
vegetable,101
month,101
wrap,100
water,99
smile,99
street,99
quickly,98
register,98
Italian,98
steak,98
chain,97
Never,97
ready,97
asking,97
gone,97
twice,96
return,96
received,96
fact,95
awesome,95
However,95
across,94
paying,93
Great,93
found,93
big,93
Dont,93
taking,93
ago,93
supposed,92
absolutely,92
past,92
friend,92
item,92
terrible,92
full,92
slice,92
cup,91
black,91
dinner,91
eye,91
end,91
face,90
hair,90
cash,90
corporate,89
believe,89
start,89
receipt,89
cheap,89
dollar,89
regular,88
olive,88
polite,87
spinach,87
finally,87
later,87
cookie,87
Food,86
standard,85
quite,85
closing,85
convenient,85
Well,85
decent,85
clearly,85
buy,84
complaint,84
fine,84
grab,84
others,84
yet,84
bacon,83
ok,83
establishment,83
hear,82
due,82
wearing,82
morning,82
husband,82
greeted,82
cashier,82
rather,82
charged,82
artist,81
especially,80
spot,80
needed,80
thru,79
enjoy,79
however,79
car,79
part,79
felt,79
hate,78
soda,78
sitting,78
efficient,77
number,77
there,77
floor,77
mayo,77
together,76
sorry,76
bathroom,75
sweet,75
happened,75
ahead,75
delicious,75
break,75
might,74
giving,74
town,74
may,74
please,74
disappointed,74
local,74
min,74
visited,74
wheat,74
check,74
mustard,73
hope,73
ended,73
Today,72
ham,72
bite,72
near,72
worked,72
noticed,72
wish,72
serve,72
machine,72
pleasant,72
piece,71
white,71
wife,71
entire,71
life,71
yes,71
large,71
worth,70
must,70
pm,70
honor,70
type,70
able,70
anyone,69
gentleman,69
tasty,69
easy,69
given,69
amazing,69
tasted,69
multiple,68
short,68
question,68
light,68
talk,67
placed,67
proceeded,67
high,67
ate,67
dining,67
arent,67
helpful,67
Sandwich,67
hot,66
outside,66
Maybe,66
four,66
five,66
stuff,66
gotten,65
Service,65
accept,64
son,64
Thanks,64
early,64
head,64
standing,64
walking,63
older,63
Always,63
oven,63
combo,63
restroom,63
located,63
disgusting,63
double,62
simple,62
speak,62
worse,62
eaten,61
putting,61
sometimes,61
attention,60
window,60
turn,60
telling,60
served,60
low,60
perfect,60
Even,60
turned,59
word,59
show,59
arrived,59
stale,59
locked,59
lost,59
office,59
matter,59
serving,58
appreciate,58
treat,58
refund,58
late,58
available,58
normal,57
occasion,57
along,57
zero,57
tea,57
fan,57
barely,56
Thank,56
longer,56
single,56
excellent,56
repeat,56
he,56
daughter,56
average,56
six,56
cost,55
remember,55
avocado,55
prepared,55
avoid,55
plus,55
egg,54
live,54
idea,54
refused,54
pizza,54
case,53
treated,53
flatbread,53
house,53
okay,53
training,53
choose,53
opened,53
lack,53
room,53
portion,53
NEVER,52
awful,52
exactly,52
correct,52
sit,52
unless,52
leaving,52
Good,52
act,52
obviously,52
paper,52
tip,51
mistake,51
middle,51
seating,51
hit,51
conversation,51
course,51
corner,51
answer,51
except,51
ran,51
knew,51
etc,51
added,50
unprofessional,50
green,50
werent,50
running,50
product,50
Staff,50
returning,50
dressing,50
thank,50
rest,50
condiment,49
pulled,49
company,49
soon,49
heard,49
mess,49
soup,49
Thats,49
plenty,49
using,49
Every,49
hungry,49
mention,49
First,49
stay,48
Went,48
napkin,48
dry,48
purchase,48
smell,48
waste,48
request,48
roll,48
possible,48
warm,48
flat,47
whatever,47
nasty,47
tonight,47
member,47
usual,47
anymore,47
situation,47
changed,47
mind,47
team,47
frequent,47
simply,47
courteous,47
somewhere,46
beef,46
selection,46
mile,46
fault,46
shift,46
wonderful,46
mine,46
Sunday,46
pickle,45
Theres,45
immediately,45
helping,45
ranch,45
real,45
set,45
forgot,45
threw,45
fountain,45
continued,45
huge,45
response,45
consistent,45
havent,44
closest,44
normally,44
negative,44
moved,44
Clean,44
Like,44
yesterday,44
professional,44
recently,44
helped,44
alone,44
pickup,43
center,43
evening,43
English,43
fairly,43
Yes,43
sick,43
New,43
enjoyed,43
sat,43
move,43
cleanliness,42
trip,42
chance,42
showed,42
credit,42
rating,42
picked,42
ring,42
school,42
hire,42
sell,42
ridiculous,42
listen,41
Oh,41
rudely,41
continue,41
watched,41
stood,41
gross,41
wear,41
child,41
typical,41
world,41
empty,41
female,41
bring,41
wash,41
finished,40
finish,40
posted,40
SUBWAY,40
nearby,40
health,40
Friday,40
difference,40
impressed,40
server,40
messed,40
upset,40
Saturday,39
offered,39
read,39
building,39
totally,39
seriously,39
Sometimes,39
welcoming,39
ignored,39
write,39
afternoon,39
contact,38
thinking,38
soggy,38
sad,38
beyond,38
trash,38
fix,38
teriyaki,38
honey,38
typically,37
stand,37
Theyre,37
daily,37
basically,37
state,37
taken,37
Get,37
anywhere,37
stocked,37
surprised,37
banana,37
Wont,37
total,37
road,37
moving,37
till,36
favor,36
folk,36
soft,36
Would,36
oh,36
stated,36
Jimmy,36
flavor,36
experienced,36
glass,36
youll,36
honestly,36
na,36
fill,36
positive,36
cleaning,36
roast,36
consistently,36
downtown,36
shes,35
oil,35
poorly,35
cucumber,35
Definitely,35
complain,35
hadnt,35
bought,35
boyfriend,35
maker,35
BMT,35
skill,35
Really,35
container,35
calling,35
crew,35
apparently,35
annoyed,35
incredibly,35
mouth,34
within,34
strip,34
breast,34
shopping,34
sandwhich,34
Keep,34
Employees,34
gift,34
correctly,34
filthy,34
ice,34
salt,34
miss,33
wonder,33
healthier,33
Yelp,33
perfectly,33
block,33
city,33
drivethru,33
requested,33
email,33
suck,33
language,33
station,33
certain,33
crazy,32
properly,32
size,32
throw,32
Nothing,32
touch,32
Two,32
process,32
toast,32
acted,32
footlongs,32
explained,32
met,32
delivery,32
Ordered,32
Johns,32
missing,32
Customer,32
including,32
baked,32
Go,32
carry,31
male,31
spicy,31
brown,31
Please,31
shouldnt,31
crowd,31
save,31
rang,31
discount,31
general,31
yelled,31
toaster,31
tax,31
music,31
Overall,31
skimpy,31
chocolate,31
Walmart,31
apart,31
none,31
skimp,31
overall,31
highly,31
Indian,31
despite,30
mostly,30
herb,30
began,30
replied,30
personal,30
bother,30
sloppy,30
named,30
EVER,30
patient,30
exact,30
truly,30
weird,30
clear,30
greet,30
convenience,30
dude,30
vinegar,30
cleanest,30
wall,30
support,30
stingy,30
specific,30
sort,30
youve,30
complete,30
Since,30
notice,30
forever,29
explain,29
realize,29
bottle,29
cool,29
handle,29
cent,29
opinion,29
craving,29
Love,29
neighborhood,29
disappointing,29
brought,29
cause,29
