,bigrams,counts
0,"('in', 'the')",214
1,"('of', 'the')",199
2,"('and', 'the')",187
3,"('on', 'the')",146
4,"('it', 'was')",145
5,"('for', 'a')",128
6,"('this', 'location')",120
7,"('i', 'was')",114
8,"('to', 'the')",110
9,"('when', 'i')",107
10,"('and', 'i')",105
11,"('to', 'be')",98
12,"('and', 'they')",97
13,"('for', 'the')",95
14,"('the', 'food')",94
15,"('i', 'have')",90
16,"('the', 'staff')",89
17,"('my', 'sandwich')",84
18,"('is', 'a')",82
19,"('they', 'are')",79
20,"('is', 'the')",79
21,"('to', 'get')",77
22,"('if', 'you')",70
23,"('this', 'place')",69
24,"('this', 'subway')",68
25,"('the', 'sandwich')",67
26,"('i', 'asked')",67
27,"('at', 'the')",66
28,"('my', 'order')",65
29,"('they', 'were')",65
30,"('i', 'ordered')",64
31,"('this', 'is')",63
32,"('i', 'will')",63
33,"('the', 'best')",61
34,"('i', 'had')",60
35,"('the', 'service')",60
36,"('is', 'always')",60
37,"('out', 'of')",60
38,"('with', 'the')",60
39,"('to', 'this')",59
40,"('so', 'i')",58
41,"('a', 'sandwich')",58
42,"('in', 'a')",58
43,"('asked', 'for')",58
44,"('a', 'little')",56
45,"('it', 'is')",56
46,"('that', 'i')",56
47,"('go', 'to')",55
48,"('but', 'i')",55
49,"('and', 'a')",55
50,"('the', 'same')",55
51,"('customer', 'service')",54
52,"('but', 'the')",54
53,"('get', 'a')",53
54,"('at', 'this')",53
55,"('they', 'have')",52
56,"('the', 'only')",52
57,"('to', 'go')",51
58,"('was', 'a')",51
59,"('i', 'would')",51
60,"('the', 'store')",51
61,"('have', 'a')",50
62,"('the', 'counter')",50
63,"('on', 'my')",49
64,"('clean', 'and')",49
65,"('have', 'been')",48
66,"('all', 'the')",48
67,"('you', 'can')",48
68,"('the', 'bread')",47
69,"('food', 'is')",47
70,"('service', 'is')",46
71,"('this', 'one')",46
72,"('one', 'of')",46
73,"('i', ""don't"")",46
74,"('had', 'a')",45
75,"('i', 'am')",45
76,"('a', 'few')",45
77,"('with', 'a')",44
78,"('there', 'was')",44
79,"('on', 'a')",44
80,"('friendly', 'and')",44
81,"('was', 'very')",43
82,"('jimmy', ""john's"")",43
83,"('and', 'it')",43
84,"('the', 'place')",43
85,"('that', 'the')",42
86,"('a', 'good')",42
87,"('going', 'to')",42
88,"('i', 'love')",42
89,"('a', 'subway')",41
90,"('to', 'make')",41
91,"('i', 'got')",41
92,"('the', 'employees')",41
93,"('a', 'great')",40
94,"('that', 'they')",40
95,"('time', 'i')",40
96,"('behind', 'the')",39
97,"('from', 'the')",39
98,"('jimmy', 'johns')",39
99,"('and', 'was')",38
100,"('sandwich', 'was')",38
101,"('the', 'other')",38
102,"('was', 'the')",38
103,"('to', 'order')",37
104,"('have', 'to')",37
105,"('had', 'to')",37
106,"('staff', 'is')",37
107,"('you', 'get')",36
108,"('sandwich', 'and')",36
109,"('there', 'are')",36
110,"('been', 'to')",35
111,"('back', 'to')",35
112,"('location', 'is')",34
113,"('for', 'my')",34
114,"('subway', 'is')",34
115,"('to', 'my')",34
116,"('if', 'i')",33
117,"('the', 'sandwiches')",33
118,"('to', 'have')",33
119,"('the', 'guy')",33
120,"('want', 'to')",32
121,"('i', 'wanted')",32
122,"('there', 'is')",32
123,"('at', 'all')",32
124,"('of', 'my')",31
125,"('the', 'one')",31
126,"('fresh', 'and')",31
127,"('at', 'least')",31
128,"('what', 'i')",31
129,"('a', 'bit')",31
130,"('place', 'is')",31
131,"('i', 'can')",30
132,"('the', 'time')",30
133,"('ordered', 'a')",30
134,"('very', 'friendly')",30
135,"('food', 'was')",30
136,"('i', 'know')",29
137,"('better', 'than')",29
138,"('with', 'my')",29
139,"('because', 'i')",29
140,"('to', 'a')",29
141,"('which', 'is')",29
142,"('was', 'not')",29
143,"('to', 'me')",29
144,"('of', 'a')",28
145,"('i', ""didn't"")",28
